Path	Class
E:\Dev\flowers ds\flowers\tulip\5682463466_d3e641cb8b.jpg	tulip
E:\Dev\flowers ds\flowers\dandelion\8719032054_9a3ce4f0ff.jpg	dandelion
E:\Dev\flowers ds\flowers\tulip\4579128789_1561575458_n.jpg	tulip
E:\Dev\flowers ds\flowers\dandelion\2480853696_aacdbb5324.jpg	dandelion
E:\Dev\flowers ds\flowers\tulip\13903937027_44b9f2f5b8.jpg	tulip
E:\Dev\flowers ds\flowers\dandelion\2540640433_dedd577263.jpg	dandelion
E:\Dev\flowers ds\flowers\dandelion\5607256228_2294c201b3.jpg	dandelion
E:\Dev\flowers ds\flowers\rose\7147367479_f7a6ef0798.jpg	rose
E:\Dev\flowers ds\flowers\daisy\2641979584_2b21c3fe29_m.jpg	daisy
E:\Dev\flowers ds\flowers\dandelion\9517326597_5d116a0166.jpg	dandelion
E:\Dev\flowers ds\flowers\tulip\8603340662_0779bd87fd.jpg	tulip
E:\Dev\flowers ds\flowers\tulip\8586205168_8294e67195_n.jpg	tulip
E:\Dev\flowers ds\flowers\dandelion\17029965300_8e755c2214_n.jpg	dandelion
E:\Dev\flowers ds\flowers\daisy\8742143296_fed9fa007c.jpg	daisy
E:\Dev\flowers ds\flowers\rose\18304294599_2b0b604a8d_n.jpg	rose
E:\Dev\flowers ds\flowers\sunflower\200557977_bf24d9550b.jpg	sunflower
E:\Dev\flowers ds\flowers\tulip\2447151631_7551e6377b_n.jpg	tulip
E:\Dev\flowers ds\flowers\dandelion\8533312924_ee09412645_n.jpg	dandelion
E:\Dev\flowers ds\flowers\daisy\4613992315_143ccc2a10_m.jpg	daisy
E:\Dev\flowers ds\flowers\tulip\4562423077_00b16240dc_n.jpg	tulip
E:\Dev\flowers ds\flowers\tulip\14066056226_d8564a083e_m.jpg	tulip
E:\Dev\flowers ds\flowers\dandelion\3393564906_f2df184b76_n.jpg	dandelion
E:\Dev\flowers ds\flowers\tulip\8708209606_d3aede4801.jpg	tulip
E:\Dev\flowers ds\flowers\tulip\14090546015_504c8becd1.jpg	tulip
E:\Dev\flowers ds\flowers\tulip\13910028149_6c9d5485ef.jpg	tulip
E:\Dev\flowers ds\flowers\dandelion\3398195641_456872b48b_n.jpg	dandelion
E:\Dev\flowers ds\flowers\rose\12165480946_c4a3fe182d_n.jpg	rose
E:\Dev\flowers ds\flowers\tulip\10791227_7168491604.jpg	tulip
E:\Dev\flowers ds\flowers\sunflower\2443921986_d4582c123a.jpg	sunflower
E:\Dev\flowers ds\flowers\sunflower\145303599_2627e23815_n.jpg	sunflower
E:\Dev\flowers ds\flowers\tulip\3601085193_de1195d3d7_n.jpg	tulip
E:\Dev\flowers ds\flowers\tulip\15147464747_594599c855_m.jpg	tulip
E:\Dev\flowers ds\flowers\rose\4608559939_3487bf3b62_n.jpg	rose
E:\Dev\flowers ds\flowers\daisy\4657354814_f368762c53_m.jpg	daisy
E:\Dev\flowers ds\flowers\dandelion\3454102259_957ecd0a9b.jpg	dandelion
E:\Dev\flowers ds\flowers\rose\8388497874_1fe750cc95_m.jpg	rose
E:\Dev\flowers ds\flowers\dandelion\20456824132_b1c8fbfa41_m.jpg	dandelion
E:\Dev\flowers ds\flowers\daisy\3611577717_f3a7a8c416_n.jpg	daisy
E:\Dev\flowers ds\flowers\dandelion\4510350093_3700064215.jpg	dandelion
E:\Dev\flowers ds\flowers\rose\3415176946_248afe9f32.jpg	rose
E:\Dev\flowers ds\flowers\tulip\14087326141_1906d5a373_n.jpg	tulip
E:\Dev\flowers ds\flowers\rose\5336551122_2df8fee6da_n.jpg	rose
E:\Dev\flowers ds\flowers\dandelion\15268682367_5a4512b29f_m.jpg	dandelion
E:\Dev\flowers ds\flowers\tulip\9378657435_89fabf13c9_n.jpg	tulip
E:\Dev\flowers ds\flowers\tulip\8758464923_75a5ffe320_n.jpg	tulip
E:\Dev\flowers ds\flowers\rose\2850381271_d2f9a470b1_n.jpg	rose
E:\Dev\flowers ds\flowers\daisy\4563059851_45a9d21a75.jpg	daisy
E:\Dev\flowers ds\flowers\daisy\144603918_b9de002f60_m.jpg	daisy
E:\Dev\flowers ds\flowers\daisy\3962240986_0661edc43a_n.jpg	daisy
E:\Dev\flowers ds\flowers\daisy\4724713781_d169f98a35.jpg	daisy
E:\Dev\flowers ds\flowers\sunflower\18766965343_9f42d4bedc_m.jpg	sunflower
E:\Dev\flowers ds\flowers\tulip\5674134129_2db5136cba.jpg	tulip
E:\Dev\flowers ds\flowers\daisy\11124324295_503f3a0804.jpg	daisy
E:\Dev\flowers ds\flowers\dandelion\33875742534_31b85d1b05_n.jpg	dandelion
E:\Dev\flowers ds\flowers\sunflower\40410963_3ac280f23a_n.jpg	sunflower
E:\Dev\flowers ds\flowers\rose\15681454551_b6f73ce443_n.jpg	rose
E:\Dev\flowers ds\flowers\dandelion\16863587471_cc3a6ffb29_m.jpg	dandelion
E:\Dev\flowers ds\flowers\daisy\11439894966_dca877f0cd.jpg	daisy
E:\Dev\flowers ds\flowers\daisy\19834392829_7d697871f6.jpg	daisy
E:\Dev\flowers ds\flowers\daisy\33814092924_b23d019011_n.jpg	daisy
E:\Dev\flowers ds\flowers\sunflower\12471441503_d188b5f31a_m.jpg	sunflower
E:\Dev\flowers ds\flowers\daisy\34326847400_f4de801005_n.jpg	daisy
E:\Dev\flowers ds\flowers\daisy\4865691548_00319261b8.jpg	daisy
E:\Dev\flowers ds\flowers\sunflower\164670176_9f5b9c7965.jpg	sunflower
E:\Dev\flowers ds\flowers\dandelion\34571238031_7eff74ca43_n.jpg	dandelion
E:\Dev\flowers ds\flowers\sunflower\15026703621_e15e9d55f0_n.jpg	sunflower
E:\Dev\flowers ds\flowers\dandelion\14164392167_650946a169_n.jpg	dandelion
E:\Dev\flowers ds\flowers\rose\15822837396_96b392fda8_m.jpg	rose
E:\Dev\flowers ds\flowers\daisy\34276373070_27ec2d2596_n.jpg	daisy
E:\Dev\flowers ds\flowers\tulip\17167151059_a53bfe0b02.jpg	tulip
E:\Dev\flowers ds\flowers\rose\2053476785_c162a3e358.jpg	rose
E:\Dev\flowers ds\flowers\dandelion\1386449001_5d6da6bde6.jpg	dandelion
E:\Dev\flowers ds\flowers\sunflower\3683873444_be4a609c46.jpg	sunflower
E:\Dev\flowers ds\flowers\sunflower\5979668702_fdaec9e164_n.jpg	sunflower
E:\Dev\flowers ds\flowers\rose\5002457330_b77672da1c_n.jpg	rose
E:\Dev\flowers ds\flowers\tulip\38287568_627de6ca20.jpg	tulip
E:\Dev\flowers ds\flowers\tulip\2535936698_78cc03df3f_n.jpg	tulip
E:\Dev\flowers ds\flowers\tulip\8759594528_2534c0ec65_n.jpg	tulip
E:\Dev\flowers ds\flowers\tulip\2834890466_1cf220fba1.jpg	tulip
E:\Dev\flowers ds\flowers\tulip\20876954720_62920b4ce8_n.jpg	tulip
E:\Dev\flowers ds\flowers\tulip\17198868382_697b23c715_n.jpg	tulip
E:\Dev\flowers ds\flowers\rose\509239741_28e2cfe492_m.jpg	rose
E:\Dev\flowers ds\flowers\tulip\17291908295_dc7d45ae9b_n.jpg	tulip
E:\Dev\flowers ds\flowers\tulip\26564770956_ac4800ae85_n.jpg	tulip
E:\Dev\flowers ds\flowers\tulip\6931674908_8e93bd4554.jpg	tulip
E:\Dev\flowers ds\flowers\daisy\2365428551_39f83f10bf_n.jpg	daisy
E:\Dev\flowers ds\flowers\dandelion\8748402330_c00f9fbf7f_n.jpg	dandelion
E:\Dev\flowers ds\flowers\daisy\3463313493_9497aa47e5_n.jpg	daisy
E:\Dev\flowers ds\flowers\rose\2491600761_7e9d6776e8_m.jpg	rose
E:\Dev\flowers ds\flowers\daisy\176375506_201859bb92_m.jpg	daisy
E:\Dev\flowers ds\flowers\dandelion\13881700933_69a750d418_n.jpg	dandelion
E:\Dev\flowers ds\flowers\sunflower\4932735566_2327bf319a.jpg	sunflower
E:\Dev\flowers ds\flowers\tulip\13530796853_e5993f57d6_n.jpg	tulip
E:\Dev\flowers ds\flowers\dandelion\138132145_782763b84f_m.jpg	dandelion
E:\Dev\flowers ds\flowers\sunflower\4042816698_578a1d599e.jpg	sunflower
E:\Dev\flowers ds\flowers\rose\18302672248_38fe0f70af_n.jpg	rose
E:\Dev\flowers ds\flowers\daisy\4890424315_6a59696357_n.jpg	daisy
E:\Dev\flowers ds\flowers\rose\14172324538_2147808483_n.jpg	rose
E:\Dev\flowers ds\flowers\sunflower\4626721387_88f89d5cc9_n.jpg	sunflower
E:\Dev\flowers ds\flowers\dandelion\142390525_5d81a3659d_m.jpg	dandelion
E:\Dev\flowers ds\flowers\daisy\3661613900_b15ca1d35d_m.jpg	daisy
E:\Dev\flowers ds\flowers\rose\4061451210_1650590c6a.jpg	rose
E:\Dev\flowers ds\flowers\dandelion\20179380768_7a2990d4e3_n.jpg	dandelion
E:\Dev\flowers ds\flowers\daisy\9611923744_013b29e4da_n.jpg	daisy
E:\Dev\flowers ds\flowers\sunflower\9384867134_83af458a19_n.jpg	sunflower
E:\Dev\flowers ds\flowers\daisy\144099102_bf63a41e4f_n.jpg	daisy
E:\Dev\flowers ds\flowers\dandelion\10946896405_81d2d50941_m.jpg	dandelion
E:\Dev\flowers ds\flowers\dandelion\8737699225_19e0c9f0fa_m.jpg	dandelion
E:\Dev\flowers ds\flowers\dandelion\3517492544_0fd3ed6a66_m.jpg	dandelion
E:\Dev\flowers ds\flowers\rose\22093190909_77223e6f53_n.jpg	rose
E:\Dev\flowers ds\flowers\dandelion\2608937632_cfd93bc7cd.jpg	dandelion
E:\Dev\flowers ds\flowers\daisy\506348009_9ecff8b6ef.jpg	daisy
E:\Dev\flowers ds\flowers\sunflower\6140661443_bb48344226.jpg	sunflower
E:\Dev\flowers ds\flowers\sunflower\5492906452_80943bfd04.jpg	sunflower
E:\Dev\flowers ds\flowers\tulip\5635348214_a4e2b19ffe.jpg	tulip
E:\Dev\flowers ds\flowers\daisy\2513618768_ff7c004796_m.jpg	daisy
E:\Dev\flowers ds\flowers\tulip\4042180234_64cd2859c9_m.jpg	tulip
E:\Dev\flowers ds\flowers\dandelion\2387025546_6aecb1b984_n.jpg	dandelion
E:\Dev\flowers ds\flowers\tulip\8713396140_5af8136136.jpg	tulip
E:\Dev\flowers ds\flowers\sunflower\3514340206_efb8198a80_n.jpg	sunflower
E:\Dev\flowers ds\flowers\daisy\16819071290_471d99e166_m.jpg	daisy
E:\Dev\flowers ds\flowers\sunflower\3749090865_b90f28a585_n.jpg	sunflower
E:\Dev\flowers ds\flowers\tulip\16670377091_87987f50a4_n.jpg	tulip
E:\Dev\flowers ds\flowers\rose\4625089819_55c45a189c.jpg	rose
E:\Dev\flowers ds\flowers\dandelion\344318990_7be3fb0a7d.jpg	dandelion
